task,model,MAE,MAPE,RMSE,NSE
24h,STGCN,5.8506902098,2.42452648,7.9045915979,0.9605898151
24h,DCRNN,5.3563154631,2.21292761,6.848257339,0.9704192118
24h,STaR-GNN,4.3608413887,1.8045739200000002,5.5346555758,0.9806789467
168h,STGCN,8.5740333233,3.57584815,10.305691378,0.9333373086
168h,DCRNN,7.7348375553,3.2484126100000004,9.8174281057,0.9395043653
168h,STaR-GNN,4.919811861,2.0137742899999997,6.1608814144,0.9761760221
